product_id,purchase_count
100000000,7
100000002,11
100000003,1
100000010,1
100000013,1
100000016,13
100000017,94
100000018,2
100000021,8
100000023,2
100000024,61
100000027,3
100000028,1
100000030,9
100000031,2
100000032,5
100000035,5
100000037,5
100000040,2
100000042,3
100000043,30
100000044,5
100000045,1
100000046,22
100000047,15
100000049,24
100000051,12
100000053,9
100000054,2
100000055,1
100000056,1
100000059,10
100000066,13
100000067,1
100000068,4
100000069,20
100000070,1
100000071,10
100000072,3
100000074,1
100000077,3
100000078,2
100000079,1
100000084,32
100000086,38
100000088,5
100000089,3
100000092,20
100000094,2
100000096,12
100000097,10
100000098,10
100000099,1
100000100,2
100000101,13
100000102,82
100000103,1
100000104,4
100000105,5
100000106,6
100000107,1
100000108,3
100000109,18
100000110,31
100000111,32
100000112,48
100000113,14
100000114,5
100000115,21
100000116,22
100000118,14
100000119,134
100000120,65
100000121,73
100000122,137
100000123,4
100000124,22
100000125,63
100000127,43
100000128,1
100000130,3
100000134,2
100000141,4
100000149,2
100000151,10
100000153,10
100000154,14
100000155,6
100000156,5
100000159,13
100000161,46
100000162,33
100000164,1
100000165,30
100000166,17
100000167,1
100000168,21
100000172,1
100000175,1
100000178,4
100000179,9
100000181,5
100000185,1
100000186,4
100000188,5
100000193,1
100000194,27
100000196,3
100000198,14
100000201,1
100000203,1
100000204,1
100000206,1
100000207,3
100000208,3
100000210,15
100000213,2
100000216,3
100000220,1
100000232,3
100000234,38
100000237,17
100000239,53
100000240,1
100000242,203
100000243,83
100000244,14
100000245,6
100000246,93
100000249,7
100000250,3
100000251,13
100000253,6
100000255,3
100000256,1
100000259,1
100000260,11
100000263,28
100000264,1
100000265,2
100000268,1
100000272,1
100000273,3
100000274,17
100000277,12
100000279,16
100000280,1
100000282,54
100000283,11
100000286,2
100000290,3
100000291,2
100000295,15
100000296,9
100000297,6
100000298,10
100000301,1
100000306,4
100000309,3
100000310,5
100000312,2
100000313,2
100000314,4
100000315,35
100000316,12
100000319,2
100000320,14
100000324,6
100000325,1
100000326,7
100000328,10
100000330,1
100000331,11
100000332,2
100000333,5
100000335,1
100000338,4
100000340,5
100000355,6
100000360,9
100000362,2
100000367,39
100000368,14
100000378,27
100000380,7
100000381,1
100000382,3
100000386,10
100000391,2
100000394,30
100000404,1
100000405,6
100000408,51
100000409,3
100000410,3
100000419,1
100000427,48
100000431,4
100000433,5
100000436,5
100000438,7
100000440,6
100000441,7
100000442,2
100000443,19
100000445,46
100000449,2
100000450,12
100000451,9
100000453,45
100000456,8
100000458,10
100000462,23
100000465,1
100000468,19
100000471,4
100000473,12
100000477,2
100000481,8
100000485,2
100000486,1
100000489,1
100000491,1
100000493,4
100000496,5
100000502,22
100000503,6
100000504,2
100000506,1
100000516,1
100000520,15
100000522,17
100000523,1
100000524,65
100000527,3
100000528,1
100000531,1
100000534,3
100000535,1
100000540,14
100000542,1
100000544,4
100000548,3
100000550,2
100000552,1
100000554,2
100000556,2
100000558,10
100000561,1
100000562,1
100000563,1
100000564,2
100000568,3
100000569,1
100000572,1
100000575,7
100000583,24
100000584,59
100000586,63
100000588,80
100000589,113
100000591,4
100000596,25
100000597,2
100000601,21
100000602,6
100000603,3
100000604,2
100000606,5
100000608,11
100000610,2
100000613,1
100000614,25
100000617,40
100000619,7
100000622,1
100000624,39
100000627,3
100000629,4
100000630,100
100000633,7
100000635,7
100000636,10
100000640,6
100000642,2
100000644,1
100000645,16
100000647,23
100000650,78
100000651,3
100000652,1
100000653,73
100000655,1
100000656,2
100000657,14
100000661,1
100000662,59
100000665,4
100000667,7
100000668,20
100000670,1
100000672,16
100000676,2
100000677,8
100000678,19
100000679,3
100000680,2
100000681,2
100000684,1
100000686,7
100000687,3
100000689,2
100000691,7
100000696,1
100000698,6
100000701,3
100000704,14
100000706,1
100000707,4
100000708,2
100000710,1
100000714,6
100000716,9
100000719,1
100000720,2
100000722,1
100000723,14
100000729,4
100000730,4
100000731,3
100000736,2
100000738,22
100000740,6
100000741,39
100000742,4
100000744,14
100000745,12
100000746,12
100000749,69
100000752,3
100000753,37
100000754,12
100000755,1
100000756,2
100000759,29
100000760,2
100000762,18
100000763,3
100000764,4
100000767,5
100000768,19
100000769,4
100000771,13
100000776,6
100000781,29
100000783,3
100000784,3
100000785,5
100000789,11
100000791,3
100000792,6
100000793,2
100000798,19
100000800,5
100000803,77
100000805,30
100000807,4
100000809,2
100000811,9
100000816,1
100000826,3
100000828,6
100000831,1
100000833,2
100000838,8
100000839,2
100000842,1
100000853,10
100000854,24
100000858,2
100000860,1
100000861,1
100000863,1
100000864,2
100000866,1
100000869,1
100000870,6
100000873,1
100000878,7
100000880,2
100000881,1
100000885,1
100000887,2
100000888,10
100000889,2
100000891,7
100000892,6
100000894,74
100000895,7
100000898,201
100000900,6
100000907,2
100000908,6
100000911,1
100000912,2
100000923,26
100000926,1
100000932,1
100000935,2
100000942,13
100000944,1
100000949,6
100000952,7
100000957,3
100000965,7
100000967,1
100000969,1
100000970,11
100000977,2
100000982,34
100000987,28
100000991,8
100000993,16
100000994,58
100000995,7
100000996,5
100000998,4
100000999,15
100001001,2
100001003,2
100001006,1
100001007,2
100001008,5
100001010,12
100001016,1
100001017,9
100001019,32
100001020,1
100001024,1
100001025,13
100001027,2
100001030,42
100001031,14
100001033,3
100001034,3
100001035,9
100001037,1
100001038,24
100001041,2
100001043,1
100001045,6
100001046,3
100001049,8
100001050,3
100001052,3
100001054,3
100001055,13
100001057,13
100001059,3
100001060,2
100001063,21
100001070,95
100001077,55
100001082,2
100001086,5
100001089,2
100001092,8
100001095,3
100001098,6
100001101,6
100001104,1
100001105,4
100001112,4
100001113,1
100001118,1
100001120,4
100001123,2
100001125,13
100001127,24
100001128,1
100001130,24
100001134,11
100001143,8
100001145,2
100001151,1
100001154,68
100001155,2
100001158,2
100001162,4
100001167,1
100001169,3
100001176,36
100001177,2
100001183,15
100001184,4
100001185,2
100001191,3
100001196,1
100001197,10
100001199,6
100001200,1
100001212,1
100001213,24
100001215,1
100001218,15
100001220,49
100001221,59
100001222,11
100001226,7
100001227,1
100001229,42
100001232,14
100001236,37
100001238,28
100001245,12
100001247,2
100001249,3
100001252,13
100001253,5
100001254,1
100001257,2
100001259,80
100001268,8
100001275,2
100001281,4
100001285,1
100001286,9
100001294,1
100001298,1
100001300,1
100001306,4
100001311,8
100001315,3
100001320,4
100001321,1
100001331,12
100001334,6
100001341,1
100001343,2
100001353,1
100001356,1
100001363,9
100001366,5
100001368,4
100001370,2
100001372,6
100001373,4
100001375,2
100001377,5
100001382,5
100001385,1
100001387,33
100001391,2
100001397,29
100001400,68
100001408,4
100001415,1
100001416,4
100001418,1
100001421,2
100001422,2
100001427,1
100001428,6
100001429,4
100001432,31
100001437,1
100001439,4
100001441,3
100001442,4
100001447,10
100001454,2
100001466,94
100001470,106
100001478,4
100001485,29
100001486,3
100001488,8
100001491,1
100001492,40
100001493,1
100001494,1
100001496,1
100001501,2
100001502,1
100001505,2
100001509,3
100001510,45
100001515,1
100001518,8
100001519,13
100001520,1
100001522,32
100001524,5
100001526,5
100001527,2
100001528,3
100001529,45
100001530,5
100001533,1
100001535,23
100001536,3
100001537,2
100001538,1
100001539,4
100001540,1
100001541,137
100001542,6
100001543,39
100001544,5
100001545,6
100001548,1
100001549,19
100001551,2
100001554,2
100001556,7
100001557,24
100001560,53
100001561,12
100001564,12
100001565,13
100001566,1
100001567,3
100001568,3
100001569,15
100001570,5
100001571,3
100001572,22
100001573,1
100001574,2
100001575,2
100001577,4
100001586,1
100001587,1
100001590,2
100001593,2
100001596,11
100001598,1
100001601,3
100001602,1
100001605,8
100001606,1
100001608,1
100001610,106
100001612,1
100001613,4
100001614,1
100001617,38
100001618,17
100001619,4
100001620,4
100001623,21
100001624,2
100001626,2
100001627,44
100001628,7
100001629,32
100001630,1
100001633,35
100001635,7
100001637,4
100001638,13
100001641,12
100001642,2
100001643,6
100001644,43
100001646,3
100001650,4
100001652,19
100001653,1
100001661,1
100001663,115
100001664,5
100001666,1
100001668,3
100001671,8
100001673,5
100001674,11
100001675,2
100001677,2
100001680,1
100001681,1
100001682,4
100001684,3
100001686,1
100001690,6
100001692,18
100001694,1
100001695,2
100001697,3
100001703,3
100001704,2
100001705,1
100001706,23
100001707,2
100001709,4
100001711,54
100001712,2
100001714,1
100001715,6
100001718,4
100001719,1
100001721,1
100001722,3
100001724,1
100001725,9
100001726,10
100001728,1
100001730,5
100001732,7
100001733,1
100001735,10
100001737,6
100001740,27
100001742,11
100001745,2
100001748,2
100001750,5
100001754,5
100001757,3
100001758,38
100001760,9
100001761,1
100001762,18
100001766,1
100001767,7
100001771,6
100001772,2
100001775,3
100001776,5
100001778,1
100001782,71
100001784,2
100001785,1
100001786,1
100001787,15
100001788,6
100001789,1
100001796,19
100001797,2
100001798,3
100001800,10
100001801,5
100001802,1
